Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1975","1975","t","22000","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1976","1976","t","5600","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1977","1977","t","4000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1978","1978","t","17000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1979","1979","t","5000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1980","1980","t","33300","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1981","1981","t","9000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1982","1982","t","17000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1983","1983","t","89000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1984","1984","t","83000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1985","1985","t","59400","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1986","1986","t","132000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1987","1987","t","120400","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1988","1988","t","91200","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1989","1989","t","1420000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1990","1990","t","1624000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1991","1991","t","1033000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1992","1992","t","1945800","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1993","1993","t","1722000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1994","1994","t","1983000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1995","1995","t","1988000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1996","1996","t","3003000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1997","1997","t","3574804","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1998","1998","t","3730000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","1999","1999","t","4508277","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2000","2000","t","3476983","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2001","2001","t","3729458","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2002","2002","t","3240932","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2003","2003","t","3813000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2004","2004","t","4063000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2005","2005","t","5250000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2006","2006","t","4642000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2007","2007","t","4558000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2008","2008","t","4735170","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2009","2009","t","5968586","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2010","2010","t","6892959","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2011","2011","t","7112000","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2012","2012","t","7477407","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2013","2013","t","3161036","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2014","2014","t","6122146.21","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2015","2015","t","6048015.52","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2016","2016","t","4489037.36","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2017","2017","t","5338505.6","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2018","2018","t","4923447.84","I","Imputed value",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2019","2019","t","4801026.99","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2020","2020","t","4799108.07","I","Imputed value",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2021","2021","t","4958743.07","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2022","2022","t","4808804.75","I","Imputed value",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export quantity","23161.02","Rice, milled","2023","2023","t","6106056.44","I","Imputed value",""
